
=== Spec A ===  one-layer a1=0.571533
  n=2 L= 3 sigma=-1  infeasible  [11 start-types, 11 starts, 4.45s]
  n=2 L= 4 sigma=+1  delta=3.292583e-01  [11 start-types, 11 starts, 3.20s]
  n=2 L= 4 sigma=-1  infeasible  [11 start-types, 11 starts, 5.71s]
  n=2 L= 5 sigma=+1  infeasible  [11 start-types, 11 starts, 4.45s]
  n=2 L= 5 sigma=-1  infeasible  [11 start-types, 11 starts, 4.98s]
  n=2 L= 6 sigma=+1  infeasible  [11 start-types, 11 starts, 4.25s]
  n=2 L= 6 sigma=-1  infeasible  [11 start-types, 11 starts, 6.88s]
  n=2 L= 7 sigma=+1  infeasible  [11 start-types, 11 starts, 5.77s]
  n=2 L= 7 sigma=-1  infeasible  [11 start-types, 11 starts, 4.32s]
  n=2 L= 8 sigma=+1  infeasible  [11 start-types, 11 starts, 5.89s]
  n=2 L= 8 sigma=-1  infeasible  [11 start-types, 11 starts, 5.41s]
  n=2 L= 9 sigma=+1  infeasible  [11 start-types, 11 starts, 3.93s]
  n=2 L= 9 sigma=-1  infeasible  [11 start-types, 11 starts, 5.38s]
  n=2 L=10 sigma=+1  infeasible  [11 start-types, 11 starts, 5.01s]
  n=2 L=10 sigma=-1  infeasible  [11 start-types, 11 starts, 4.92s]
  n=2 L=11 sigma=+1  infeasible  [11 start-types, 11 starts, 4.69s]
  n=2 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 3.33s]
  n=2 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 3.93s]
  n=2 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 3.80s]
  checkpointed through n=2 -> ../data/e2_results.json
  n=3 L= 4 sigma=+1  delta=2.965321e-03  [12 start-types, 12 starts, 5.12s]
  n=3 L= 4 sigma=-1  infeasible  [12 start-types, 12 starts, 10.96s]
  n=3 L= 5 sigma=+1  infeasible  [12 start-types, 12 starts, 5.22s]
  n=3 L= 5 sigma=-1  infeasible  [12 start-types, 12 starts, 7.77s]
  n=3 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 13.91s]
  n=3 L= 6 sigma=-1  delta=1.221703e-01  [12 start-types, 12 starts, 12.42s]
  n=3 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 6.92s]
  n=3 L= 7 sigma=-1  infeasible  [12 start-types, 12 starts, 5.80s]
  n=3 L= 8 sigma=+1  infeasible  [12 start-types, 12 starts, 10.88s]
  n=3 L= 8 sigma=-1  infeasible  [12 start-types, 12 starts, 13.22s]
  n=3 L= 9 sigma=+1  infeasible  [12 start-types, 12 starts, 7.51s]
  n=3 L= 9 sigma=-1  infeasible  [12 start-types, 12 starts, 6.74s]
  n=3 L=10 sigma=+1  infeasible  [12 start-types, 12 starts, 14.03s]
  n=3 L=10 sigma=-1  infeasible  [12 start-types, 12 starts, 8.45s]
  n=3 L=11 sigma=+1  infeasible  [12 start-types, 12 starts, 9.57s]
  n=3 L=11 sigma=-1  infeasible  [12 start-types, 12 starts, 8.25s]
  n=3 L=12 sigma=+1  infeasible  [12 start-types, 12 starts, 4.76s]
  n=3 L=12 sigma=-1  infeasible  [12 start-types, 12 starts, 8.81s]
  checkpointed through n=3 -> ../data/e2_results.json
